예쁜;아름다운,멋진,고운
가는귀;산성,강산 
가늘다;얇다,얇은 
가늠;판단,평가 
가늠자;판단하는 사람,판단관 
가능;가능하다,할 수 있다 
가능성;가능할 확률,가능한 가능성 
가능액;가능한 한도,가능한 수준 
가다;이동하다,나아가다 
가다가;가면서,가다가 
가다듬다;다듬다,정돈하다 
가닥;한가닥,뭉치 
가닥가닥;많이,많은 양으로 
가담;돕다,협조하다 
가담자;공모자,공범 
가당;타당하다,합당하다 
가당찮다;적당하지 않다,딱딱하다 
가도;길,도로 
가동;동작,작동 
가동률;작동 비율,활용률 
가동성;작동성,활용성 
가동식;작동식,활용식 
가두;닫다,차다 
가두리;감추다,숨기다 
가두판매;부동산 매매 방식,가두 매매 
가드;방어,보호 
가드레일;차량 방지용 철도,보호 철도 
가득;많이,충분히 
가득가득;아주 많이,많은 양으로 
가득히;충분히,아주 많이 
가든;정원,공원 
가든파티;정원 파티,야외 파티 
가뜩;많이,충분히 
가뜩이나;상당히,꽤 
가라사대;말하다,이야
가라지;쓰레기,폐기물,쓸모없는 물건 
가락;스푼,젓가락,조절 장치,음악의 리듬 
가락국수;일본의 냉면,고추장으로 양념한 면요리 
가락바퀴;차량의 바퀴,기계의 회전 부품 
가락지;토지나 집주인이 살면서 소유한 토지나 건물,주택 등의 부수적인 지적자산 
가랑비;가벼운 비,이슬비,소나기 
가랑이;꽃받침,꽃차례대,기둥 밑부분 
가랑잎;나무나 식물의 잎사귀 중 가장 바깥쪽에 있는 잎 
가래;염증이 생긴 부위에서 나오는 진폐물,목구멍의 점액 분비물 
가래떡;고추장과 팥 등을 넣고 만든 떡 
가래침;염증을 일으키는 세균,바이러스 등이 있는 분비물 
가랭이;물건을 들어올리거나 이동할 때 사용하는 장치 
가량;양,정도를 재는 단위,약간,조금 
가려내다;찾아내다,발견하다,탐지하다 
가려듣다;동경하다,감상하다,음미하다 
가려보다;시도해보다,시험해보다,시도하다 
가려움증;가려움,가려운 증상 
가려지다;가렵게 되다,가려워지다 
가련;불쌍한,애처로운,유감스러운 
가련히;애처롭게,유감스럽게,서럽게 
가렵다;가려운,간지럽다,가시가 돋다 
가령;예를 들어,예컨대,예를 들면 
가로;가로 방향,가로로 되어 있는 
가로놓다;가로로 놓다,수평으로 놓다 
가로놓이다;가로로 되어 있다,수평으로 되어 있다
가로눕다;가로로 눕다,수평으로 눕다 
가로등;도로나 길가에 설치되어 있는 전등 
가로띠;가로 방향
가로막다;막다,차단하다,막히다,가로막히다 
가로망;장애물,가로막이,장벽,펜스 
가로무늬;줄무늬,세로무늬,무늬,패턴 
가로변;길가,도로변,보도,보행자보호구역 
가로세로;가로,세로,지도,축 
가로수;나무길,나무 
가로장;선반,책장,진열대 
가로젓다;뻗다,펴다,뻗어나가다,양손을 벌리다 
가로줄;가로축,세로줄,눈금선,그리드 
가로지르다;건너다,횡단하다,가로통신하다,횡단로 
가로질러지다;가로지르다,횡단하다,건너다,횡단로 
가로채다;잡다,붙잡다,거두다,수거하다 
가로채이다;잡히다,붙잡히다,포위되다,수거되다 
가로축;가로,세로축,축,가로기둥 
가로형;평면,가로형태,가로구조,수평적인 
가로획;가로줄,선,눈금선,눈금
가루;분말,가루상태,가루질,파우더 
가루비누;분말비누,파우더비누 
가루약;분말약 
가르다;나누다,분리하다,끊다,쪼개다 
가르마;팔자,팔굽혀펴기,푸쉬업 
가르치다;교육하다,지도하다,가르쳐주다 
가르침;교훈,지식,교육,학습 
가름;겨드랑이,체충,살,지방 
가리개;칸막이,방추,파티션 
가리다;막다,차단하다,방해하다 
가리막;장벽,장애물,방해물 
가리어지다;차단되다,막히다,가로막히다 
가리우다;막다,가리다,숨기다,보호하다 
가리키다;지시하다,알리다,알리키다 
가마;불,화로,용광로 
가면;마스크,복면,가면극 
가명;다른이름,변명,변명하다 
가무;춤,무용,댄스 
가문;가계,집안,가문비,가문문양 
가물;대나무,숲,산림 
가미;끈,줄,낚싯줄 
가발;모발보강물,윗머리,위반 
가방;패쓰,핸드백,지갑 
가변;변동,변화,변동폭 
가변선;가변저항,가변전류,가변전위 
가변성;변화성,가변적,불안정성 
가변적;변화하는,변동하는,불안정한 
가볍다;가벼워지다,가벼워지다,가벼워진다,가벼워져라

가로막다;막다,차단하다,막히다,가로막히다
가로망;장애물,가로막이,장벽,펜스
가로무늬;줄무늬,세로무늬,무늬,패턴
가로변;길가,도로변,보도,보행자보호구역
가로세로;가로,세로,지도,축
가로수;나무길,나무
가로장;선반,책장,진열대
가로젓다;뻗다,펴다,뻗어나가다,양손을 벌리다
가로줄;가로축,세로줄,눈금선,그리드
가로지르다;건너다,횡단하다,가로통신하다,횡단로
가로질러지다;가로지르다,횡단하다,건너다,횡단로
가로채다;잡다,붙잡다,거두다,수거하다
가로채이다;잡히다,붙잡히다,포위되다,수거되다
가로축;가로,세로축,축,가로기둥
가로형;평면,가로형태,가로구조,수평적인
가로획;가로줄,선,눈금선,눈금

가보;간격,거리,틈
가봉;가봉쇠,보행봉
가부장;가부장제,본부장,사무총장

가불;접시,그릇,식기
가빈;가난한,빈곤한,빈천한
가뿐;우아한,멋진,세련된
가쁘다;서두르다,바쁘다,빠르다

가산;가산세,추가,보충
가상;가상적,상상,비현실적
가서;그곳으로,저쪽으로,그쪽으로
가설;가정,가설적,추측
가성;본성,천성,성질
가세;도입,관여,개입
가속;가속도,가속력,증속
가솔린;휘발유,연료,주유
가수;가수면,증명서,수험생

가부장적;관습적,관습적인,기존적,기존적인
가부장제;가부장 제도,가부장 제도적,가부장체제,가부장체제적
가부장제적;가부장적인,가부장체제적인,관습적인,관습적
가부좌;부자와 가난한 자,부와 가난의 불균형,부자와 가난한 자 간의 격차,부와 가난 사이의 갈등
가분;정량분석,정량적,정량적 분석,양적 분석
가분수;분수,비,분자와 분모로 이루어진 실수,부분

가불받다;귀족이 되다,귀족으로 인정받다,귀족적 지위를 얻다,귀족층에 속하다
가빈;여왕,여성 대통령,여성 대통령직,여성 지도자
가빠지다;숨이 차다,숨이 터지게 하다,숨이 가쁘게 되다,호흡 곤란을 느끼다
가뿐;만족스러운,마음이 평안한,불만 없는,만족하는
가뿐가뿐;마음이 편한,마음이 평온한,만족스러운,불만이 없는
가뿐히;만족스럽게,불만 없이,편안하게,평온하게
가쁘다;서두르다,빨리 움직이다,빠르게 달리다,마음이 조급하다
가사;집안일,가정 업무,일상적인 업무,생활 일
가사일;집안일,가정 업무,생활 일,봉사 활동
가사적;가정적인,가정적인

가사집;가사에 대한 시집,시집,소설집
가산;덧셈의 결과로 생기는 합,이자,부가 가치,더하기
가산세;제품 가격에 일정한 세금을 더하여 내는 부과세
가산점;점수에 추가되는 점수,더하기 점수
가상;실제가 아니고 가짜인,상상 속의,가짜의
가상공간;컴퓨터 공간,가상 현실

가스;기체,가스 상태,기체 상태
가슴;흉부,흉골,흉선,가슴속,가슴높이
가시;가시나무,가시괴불,가시밭길,가시버들
가압;가압가스,가압수지,가압발생기,가압탱크

가을;가을철,추석,추석연휴,가을비
가입;회원가입,가입자,참가,신규가입,가입신청
가족;친척,집안,부모님,부부,형제
가장;최고,최강,최상,최대
가지;가지치기,손가지,가지오,가지를치다

가열;가열로,가열치료,열화상,가열온도,열처리
가위;가위바위보,가위질,이쑤시개,자를,끊다,잘라내다
가을;가을날,가을소풍,낙엽,황금연휴,열매,수확,시들다
가이드;가이드북,가이드라인,안내자,안내책자,안내판,안내표지

갑질;권력 남용,횡포,압제,징벌,간악 행위
갑판;배의 윗 바닥,덮개,페리텍,데크
강구하다;조사하다,연구하다,탐구하다,파악하다,살피다
강기슭;강가,강변,강둑,하구,물가
강당;교회의 모임실,예배실,성당,집회소
강도높은;굳세다,튼튼하다,견고하다,강력하다,치열하다
강한;튼튼한,강력한,견고한,파워풀한,탄탄한
갖가지;다양한,여러 가지,다방면의,다채로운,수많은
갖추다;준비하다,갖고 있다,구비하다,완비하다,강화하다
같다;동일한,일치하는,상호간에 비슷한,똑같은,유사한

가식;위선,거짓됨,모양새,겉치레
가악;입술,입가,입,인중
가압;압력,강압,압박,압축
가압류;저항,방해,방해물
가압수;강수량,강우량,비오는양
가압압력;압력,인장력,끌어당기는힘
가압펌프;펌프,압력기계장치
가암;석회암,석회질 바위
가양;마음속의 뜻,생각,의지
가양살이;생활,삶,생활방식
가양이;살림,생활,삶
가업;사업,직업,사업체,기업체
가업인;기업주,사업주,사장,경영자

가호;수호,보호
가혹;가차없는,무자비한,잔인한
가훈;교훈,좌우명,격언
가히;엄연히,의심할 여지없이,정말로
각각;따로따로,개별적으로,개개인의
각개;개별적으로,각자의,따로따로
각계;각 분야,각 전문 분야,각종 분야
각계각층;각 분야에서의 각층,각계의 사람들
각고;고대의,오래된,옛날의
각광;주목,인기,인기있는
각광받다;주목받다,인기를 얻다
각국;각 나라,여러 나라
각급;여러 단계,여러 수준,다양한 수준
각기;각각,따로따로,개별적으로
각도;각,기울기,각도의 크기
각론;각자의 견해,각자의 견지
각론적;각자의 견해를 바탕으로 한,개별적인
각료;전문가,전문직 종사자
각료직;전문직,전문 종사자
각막;눈의 표면,눈꺼풀 아래에 있는 막
각목;여러 가지 목재,다양한 나무
각박;협소한,삶이 가난한,가난한
각별;독특한,뛰어난,특별한
각별히;특별히,더욱더,특히
각본;대본,대본을 쓰다,규정
각본가;대본 작가,대본 작성자
각본난;대본 작성자,각본을 만드는 사람
각본상;대본적인,규정적인,예상대로의
각색;변형,다양한 형태로 만들기
각색상;다양한 형태로 변형된,형태를 변형한

각서;문서,서적,책
각선미;꽃,붓꽃,파란꽃
각설;본론,이야기,설교
각설이;본론을 벗어나다,주제에서 벗어나다,떠들다
각설탕;설탕,설탕조각,설탕사탕
각성;깨달음,깨어남,기운
각성제;기상제,활성화제,충동제
각시;시계,긴팔,소매
각시놀음;장난,허튼소리,농담
각양각색;여러가지,많고 다양한,각색각양
각오;준비,마음먹다,결심
각인;인쇄,인장,새기다
각인각색;다양한,각양각색인,각색
각자;각개,따로,분리
각자각자;개개인의,서로 다른,개인적인
각종;다양한,여러가지,각색
각질;피부,껍질,깍지
각질층;피부층,표피층,껍질층
각질화;마모,마손,마모됨
각처;각지,여기저기,여러곳
각축;대항,겨루기,경쟁
각축전;대결,겨루기,결전
각출;독립,분리,해체
각하;명령,지시,명하다
간간;가끔,때때로,이따금
간간이;가끔,때때로,이따금
간격;거리,간격두기,빈틈
간결;간단,짧다,단순
간결성;간결함,간소함,깔끔함
간경변;명경변,특이사항,특이사실

간경변증;간경화증,간질환
간고등어;강고등어
간곡;강하게,강력히
간곡히;강력하게,강하게
간과;여과,선별
간극;틈,갈라진 곳
간난아기;초연한 유아
간단;쉬운,단순한
간단명료;간결명료
간단없다;복잡하다
간단없이;복잡하게
간단히;쉽게,단순하게
간담;비밀 담화,심층 대화
간담회;비밀 회의,비밀 모임
간당;어긋난 자리,틀림없는 자리
간당간당;확실하게,어긋나지 않게
간덩이;대규모 덩어리
간데없다;엉뚱하다
간드러지다;무너지다,붕괴되다
간들간들;부드럽고 살살함
간략;간결한,간단한
간략화;간결화
간략히;간결하게,간단하게
간만;드물게,가끔
간발;금방이라도,위태로운 상황
간밤;밤중,밤늦게
간병;돌보기,간호
간병인;간호사,간호인
간부;상관,지도자

간부급;경력,경력자,전문가,전문직

간부층;지위층,상류층,고위층,상류인

간부화;기능강화,전문화,역량강화,인적자원개발

간부회;지위모임,상류모임,지도층,상류인

간사;보좌관,어사,조력자,조언자

간사스럽다;미련하다,아쉽다,섭섭하다,안타깝다

간석기;열석기,신석기,중석기

간선;다리,교량,연결선,접점

간선로;철도,기차,기차선,철도선

간섭;개입,간섭작용,간섭효과,간섭력

간섭적;참견하는,간섭하는,간섭하려는,방해하는

간세포;간내포,간작아세포,간도세포,간열세포

간소;간단하다,소박하다,간결하다,간명하다

간소화;단순화,간략화,단순화되다,가벼워지다

간수;수련사,수련원,스승,스님

간숫물;생수,청정수,정수,물

간식;스낵,간식거리,가벼운 식사,다과

간식거리;과자,스낵,간식,쿠키

간신;새로운 생각,새로운 생명,재탄생,새로운 시작

간신배;파촘,재능충,능력자,이목구비가 뛰어난 사람

간신히;가까스로,겨우,벅차게,바삐

간염;간염증,간기능장애,간질환,간질

간음;음경포경,남편바람,외도,불륜

간음죄;혼인방해죄,도박죄,횡령죄,사기죄

간이매점;자동판매기,자동판매점,편의점,노점

간이식당;가판대식당,분식집,민속

간이;임시의,임시적인,단순한,가벼운,간소한,간편한

간장;진간장,물간장
간절;열망,목마름,탐욕
간절히;열심히,몹시 바라며,열망하며
간접;중간,매개,간접적
간접세;부과세,소비세
간접적;간접,비직접적,인과관계가 있는
간주;고려,인정,인식

간주;연주,곡주,악보,보컬,합창
간질;가려움,따가움,따끔함,따갑다
간첩;스파이,잠입요원,스파이웨어
간청;탄원,애원,요청

간이형;간이
간장;초간장,생강간장,양조간장
간장병;간성장애
간절;극심한 갈망,열망
간절히;열심히,열렬히,극심하게
간접;직접이 아닌,중간매개의
간접세;부가가치세
간접세율;부가가치세율
간접적;직접적이 아닌,유도적인
간접흡연;연기의 비연기자 흡입
간조;간호사
간주;연주,곡
간증;간경화증
간지;분위기,기분,느낌
간지럼;기분 좋은 충동,조금 간지럼해진 상태
간지럽다;쓰리고 간질거리다
간지럽히다;쓰리고 간질거리게 하다
간직;보유,보존
간질;과민반응,가려움증
간질간질;조금 간질거리는 모습
간질병;과민반응성 대장증후군,바이러스 간염
간질병자;과민반응성 대장증후군,바이러스 간염 환자
간질이다;가려움증이 있다
간질환;과민반응성 대장증후군,바이러스 간염
간책;마음에 두다,책임감을 느끼다
간척;새로 지은 땅,가뭄 때 물을 뜨는 우물
간척지;새로 지은 땅,매립지
간첩;스파이
간첩단;스파이조직
간첩선;스파이망상

간파;조사,캐내다,살피다,엿보다,탐지하다
간판;광고판,사인,표지판,식별판,명패
간판스타;명패스타,광고판모델,사인모델
간판전;광고판 전,사인전시회,표지판전시
간판타자;사인용 글꼴,광고판 글꼴,명패체
간편;편리한,간단한,단순한,손쉬운,쉬운
간편복;편한 옷,가벼운 옷,단순한 복장
간편화;단순화,간소화,간략화,편리화,간편하게하다
간편히;손쉽게,간단하게,편리하게,간단히,용이하게
간학문적;미학적,예술적,예술미학적,감각적,아름다운
간행;발행,출판,발간,발표,인쇄
간행물;출판물,발간물,발행물,도서,저작물
간헐;가끔,때때로,때때묻지 않고,간간히,가끔씩
간헐적;불규칙적인,때때로 발생하는,가끔 일어나는,때때로 나타나는,간간히 나타나는
간헐천;계곡,시냇가,시내,개울,산골짜기
간호;보호,돌봄,간호하다,돌보다,돌봐주다
간호대;간호 팀,병원 내 간호조직,간호사들
간호복;간호 전용 의복,간호 인력용 옷,보호자 의상,병원복,간호용 의복
간호사;간호 전문가,의료인력,간호 대상을 보호하고 돌보는 전문가,의료보조직원,간호사자
간호사실;간호 인력이 일하는 장소,간호사의 사무실,간호사들이 모이는 장소,간호 인력용 공간,간호사

간혹;가끔,가끔씩,가끔은
갇히다;가둔다,막히다,잠긴다
갈가리;날카로운,예리한,뾰족한
갈게;가다듬다,깎다,다듬다
갈고닦다;다듬다,정제하다,개선하다

근;뿌리,뿌리채소,뿌리마늘
갈급;급하게,급한
갈기;깍지,검,가위,쇠날
갈기갈기;산산조각나다,조각내다
갈기다;굳어서 닳다,찌그러뜨리다,손상되다
갈다;가늘어지다,닳아서 빠지다,손상되어 부러지다
갈등;분쟁,충돌,불화
갈등론적;분쟁론적,충돌론적
갈등적;갈등이 있는,갈등을 일으키는
갈라;나누다,분리하다,쪼개다
갈라놓다;가운데 나누어 놓다,분리시키다
갈라붙이다;붙어서 하나가 되다,연결되다
갈라서다;둘 이상으로 나누어지다,분리되다
갈라지다;둘 이상으로 나누어지다,분리되다

갈래길;분기점,갈림길,십자로
갈리다;나누다,나눠지다,분리되다
갈림길;갈래길,분기점,십자로
갈마보다;억지로 도중에 멈추다,멈칫하다,망설이다
갈망;열망,동경,갈구함
갈무리;정리하다,모으다,취합하다
갈보;단지,말미잘,시궁창
갈색;갈색의,갈색빛,갈색물감
갈수록;점점,점점더,더욱
갈아엎다;전면 변경하다,대대적으로 바꾸다,다시 하다
갈아입다;옷을 바꾸다,갈아타다
갈아입히다;다른 것으로 바꾸어 입히다,변신시키다,꾸미다
갈아치우다;다른 것으로 바꾸어 버리다,폐기하다,제거하다
갈아타다;다른 것으로 바꾸어 타다,옮겨타다,탈환하다

다가오다;다가가다,다가서다,접근하다,다가간다,가까이 다가가다
다듬다;다지다,깎다,닦다,연마하다,가다듬다
다루다;처리하다,다스리다,조작하다,다루어지다,다루는 것
다리다;걷다,보행하다,서다,걸어가다,이동하다
다소;약간,조금,조금씩,어느 정도,적당히
다양하다;다채롭다,많은 종류가 있다,다양성,다양한 종류의
다운;낮추다,축소하다,다운로드,하락,악화되다
다치다;다친 상태가 되다,다침을 입다,상처를 입다,다쳐나가다,다친다
닥치다;갑자기 생기다,닥친다,돌아오다,닥쳐오다,닥쳐서
닦다;닦아내다,닦다듬다,닦아내어 깨끗하게 하다,닦아내다,솔질하다
달걀;계란,알,산란,부화,산란기
달리다;뜀박질하다,속도를 내다,돌진하다,훨훨 달리다,빠르게 달리다
달리기;경주,마라톤,스프린트,달리는 것,기록을 세우다
달리다;뜀박질하다,속도를 내다,돌진하다,훨훨 달리다,빠르게 달리다
달성하다;성취하다,완수하다,달성,이루다,목표를 달성하다
달아나다;도망치다,달아난다,도피하다,달아나서,탈출하다
달인;전문가,명인,솜씨가 좋은 사람,명장,기술자
닮다;비슷하다,닮은 것,모양이 비슷하다,유사하다,똑같이 생겼다
담그다;양념에 절이다,재료를 절이다,담그다,절임,담가두다
담당하다;맡다,책임지다,지휘하다,책임을 지다,관장하다
담배;연기,궐련,구수한 연기

다가가다;가까이 가다,다가서다,접근하다,근접하다,가까워지다
다녀오다;방문하다,방문한 후 돌아오다,왕래하다
다듬다;깎다,손질하다,정돈하다,고르게 하다
다루다;조작하다,처리하다,취급하다,다루어지다,다루기 쉽다
다스리다;지배하다,통치하다,관리하다,통제하다,다스려지다
다시다;처음부터 다시 하다,재시도하다,되돌리다
다지다;건설하다,세우다,만들다,고층 건물을 세우다
다카다;상처 입다,다쳐서 아프다,부상당하다,다친 곳을 치료하다
다하다;끝나다,마치다,완성되다,다함께하다,모두 다 되다
단장하다;꾸미다,수선하다,꾸미기를 하다
단숨에;한 숨에,한번에,금방이라도,단번에
단언하다;자신하다,말하다,확신하다,분명하게 말하다,단정하다
달걀;알,계란,달걀흰자,달걀노른자,인큐베이터
달다;달콤하다,달아오르다,달콤한 맛이 나다,쓴맛이 없다
달리다;뛰어가다,미친듯이 달리다,빠르게 움직이다,미친듯이 일하다
달아나다;도망치다,빠져나가다,떠나다,빠르게 달아나다
담그다;절이다,소금물에 넣다,매운 양념에 넣다,냉장고에 넣다
담당하다;책임지다,담당자가 되다,책임이 있다
담배;흡연하다,연기를 내다,담배연기,담배술래,담배더미
담수;맑은 물

도와주다;원조하다,보조하다,어림없이 돕다,지원하다,협력하다
도와준다;원조한다,보조한다,어림없이 돕다,지원한다,협력한다
도와줬다;원조했다,보조했다,어림없이 도왔다,지원했다,협력했다
도와주고;원조하고,보조하고,어림없이 도와주며,지원하고,협력하고
도와주셨다;원조해주셨다,보조해주셨다,어림없이 도와주셨다,지원해주셨다,협력해주셨다
도와주며;원조하며,보조하며,어림없이 도와주고,지원하며,협력하며

갈증;갈증을 해소하다,갈증이 나다,갈증을 느끼다,갈증이 해소되다
갈팡질팡;망설이다,어리둥절하다,혼란스럽다,좌절하다
갉아먹다;물어뜯다,깨물다,씹어먹다,삼키다
감개무량;감동적이다,감동을 주는,감동스럽다,감회가 깊다
감겨들다;참다,견디다,참고 견디다,굳게 다가서다
감겨지다;참아들다,견디다,굳게 다가오다,인내하다
감격;감동,감회,경이,신비
감격스럽다;감동적이다,마음을 울리다,감회를 불러일으키다,가슴을 울리다
감격적;감동적인,마음을 울리는,감회를 불러일으키는,가슴을 울리는


나비;나방,나조
나사;스크류,나사못
나쁜;나쁨,나쁨마루
나무;목재,나뭇목
나누다;나눕니다,분할하다
나머지;잔여,남은 것
나무꾼;벌목업자,나무꾼일꾼
나무판자;나무판,나무판대
나물;채소,무침
나빠지다;악화되다,나쁘게되다
나누어지다;분리되다,나뉘다
나뭇가지;가지,나뭇줄기
나물상;야채가게,채소가게
나누기;나눗셈,분할
나그네;여행자,방랑자
나머지값;나머지,잔여값
나사못;나사볼트,스크류
나쁘다;나쁨,나쁘게되다
나들이;외출,산책
나무늘보;늘보,나무구렁이
나팔꽃;백합,고깔나무꽃
나뭇잎;잎,낙엽
나치;나치스,나치당
나무문;목문,목재문
나눠주다;나누다,나누어주다
나타나다;나오다,드러나다
나비넥타이;나비리본,보타이
나팔;트럼펫,호루라기
나무젓가락;목젓가락,젓가락
나무집;주말집,통나무집


나무껍질;나무피,나무껍질조각
나머지연산;나머지,나눗셈의나머지
나그네집;여관,숙박시설
나비야금;하모니카,블루스하프
나비효과;나비효과,소규모변화의크게영향
나사고리;고리볼트,스크류
나사못삽입공;나사처럼회전시켜서삽입하는공구
나사못키;나사렌치,드라이버
나비눈;실바니아,빛을반사해서보라색빛발하는안료
나팔바지;와이드팬츠,노는복
나뭇결;나뭇줄기의얼룩,마름모형얼룩
나비새;느시,나비조류
나방털;나방안구,나방모기털
나도배;쉬다,나도한번돌아본다
나팔수염;활모양수염,수염모양
나뭇막대;막대기,나무막대
나룻배;배,강에서움직이는차
나토;일본식발효콩,콩장
나시;이도류옷,상의
나그네살림;양심적자책,교도소에서잉여자력을활용하는일
나그네타운;작은마을,이동식마을
나사안정재;나사고정제,나사잠금제
나르샤단;여름하늘구름모양,나르샤단구름
나무뿌리;뿌리,나무뿌리털
나팔꽃;제비꽃,꽃무늬
나방줄기;나방의가는줄기,나무줄기의돌출부
나사비트;드라이버비트,나사못을빼내거나넣는공구
나치주의;포퓰리즘,페시즘
나무토막;토막,나무조각
나무꾼;제재업자,재생목재산업관련노동자
나무늘보;세왕귀,늘보과동물
나부랭이;기름칠된판,기름칠된나무판
나침반;컴퍼스,방향측정기구
나눔봉사;자원봉사,사람도움
나란히;함께,나란이
나팔;트럼펫,관악기
나초;선인장,물렁한초식물
나무꼭지;가지끝,나무끝
나무사다리;사다리,나무사다리
나뭇잎;잎,나뭇잎돋친초목
나아가다;진행하다,나아갈다
나타나다;나오다,드러나다
나누다;분배하다,나누어놓다
나락가다;떨어지다,추락하다
나무지다;나무를베다,나무를꺾다
나르다;운반하다,이동시키다
나물다;어울리다,조화롭다
나빠지다;나쁘게되다,나쁜상태가되다
나아지다;좋아지다,개선되다
나무라다;못마땅하게하다,촌스럽다고하다
나뉘다;구분되다,나뉘어지다
나르다;차리다,준비하다
나서다;일어나다,출동하다
나치다;나쁘다,좋지않다
나머지내다;남겨두다,남아있다
나빠뜨리다;나쁘게만들다,악화시키다
나가다;나오다,밖으로나오다
나누어놓다;나누어져있다,나눠놓다
나르시다;끌어당기다,이끌다
나머지내리다;남아있다,남겨지다
나부다;걸치다,교차하다
나띵하다;창피해하다,부끄러워하다
나무슬하다;나무가슴에앉다,기댄다
나르디다;펼치다,펼쳐놓다
나빠뜨리다;나쁘게만들다,악화시키다
나아들다;선물하다,살다
나들다;산책하다,놀러가다
나밀다;꾸미다,꾸미어놓다
나가리내다;끌어내다,강제로내쫓다
나뒤지다;뒤쳐지다,밀리다
노력;애쓰다,노력하다,수고하다
낮;밤,아침,저녁
